2023-10-17,1086  
2023-11-23,4030  
2023-12-02,5358  
2024-01-03,11900  
2024-02-16,22367  
2024-04-16,38444  
2024-05-09,43512  
2024-05-22,46583  
2024-05-26,47483  
2024-06-06,49817  
2024-06-09,50269  
2024-06-11,50608  
2024-06-13,51004  
2024-06-16,51508
2024-06-17,51584
2024-06-19,52007
2024-06-26,52930
2024-07-08,54387 
2024-07-23,56059
2024-07-31,57239
2024-08-19,59196
2024-08-23,59901
2024-08-25,60085
2024-08-27,60627
2024-08-28,61086
2024-08-31,61757 
2024-09-05,62971
2024-09-09,63784
2024-09-12,65192
2024-09-23,67902
2024-10-04,71111
2024-10-07,71742
2024-10-14,73853
2024-10-15,75910
2024-11-01,79435
2024-11-15,84214
2024-12-06,91178
2025-01-09,103017
2025-01-18,107096
2025-01-22,108612
2025-02-08,115708
2025-02-10,116728
2025-02-21,121957
2025-03-06,126580
2025-03-09,127266
2024-03-18,130105
2024-04-30,145346 
2024-05-19,149686
2024-05-22,150760
2024-06-11,155545
